"","1","2","3","4"
"一串",2.24769834432084e-05,2.67266082348409e-05,0,2.59252607457582e-05
"一五一十",0.000216626049282426,0,6.14703712810425e-05,0
"一些",0.00029220078476171,8.01798247045226e-05,7.65375275286778e-05,0
"一亮",0.000324939073923639,0,0,0
"一代人",0.000108313024641213,0,0,0
"一份",8.99079337728337e-05,0,7.65375275286778e-05,0.000129626303728791
"一來",0.000108313024641213,0.000128791293708545,0,0
"一個月",5.41565123206066e-05,0,0,6.24648635142732e-05
"一個頭",0.000108313024641213,0,0,0
"一偏",2.24769834432084e-05,0,2.5512509176226e-05,2.59252607457582e-05
"一僵",5.41565123206066e-05,6.43956468542727e-05,0,0
"一切都是",5.41565123206066e-05,0,0,0.000124929727028546
"一卷",0.000216626049282426,0,0,0
"一口氣",0.00029220078476171,5.34532164696817e-05,5.10250183524519e-05,0
"一呆",0.000108313024641213,0,0,0
"一團",0.00016246953696182,0,0,6.24648635142732e-05
"一塊兒",0.000216626049282426,0.000128791293708545,0,0
"一夜",4.49539668864169e-05,0,7.65375275286778e-05,7.77757822372747e-05
"一大",5.41565123206066e-05,0,0.000122940742562085,0
"一大半",0.000216626049282426,0,0,0
"一大幫",0.000108313024641213,0,0,0
"一大截",0.000108313024641213,0,0,0
"一大早",0.000108313024641213,0,0,6.24648635142732e-05
"一大群",0.000108313024641213,0,0,0
"一天到晚",0.000108313024641213,0,0,0
"一套",4.49539668864169e-05,0,2.5512509176226e-05,5.18505214915165e-05
"一季",0.000108313024641213,0,0,0
"一家子",5.41565123206066e-05,0,0.000184411113843128,0
"一小片",0.000216626049282426,0,0,0
"一席話",0.000108313024641213,6.43956468542727e-05,0,0
"一帶",0.000108313024641213,0,0,6.24648635142732e-05
"一幅",5.41565123206066e-05,6.43956468542727e-05,0,0
"一幕",5.41565123206066e-05,0,0,6.24648635142732e-05
"一幢",2.24769834432084e-05,5.34532164696817e-05,5.10250183524519e-05,0
"一幫",0.000108313024641213,0,0,0
"一年一度",0.000108313024641213,0,0,0
"一年到頭",0.000108313024641213,0,0,0
"一座",0.000108313024641213,0.000128791293708545,0,0
"一引",0.000108313024641213,0,0,0
"一律",0.000108313024641213,0,0,0
"一徑",2.24769834432084e-05,2.67266082348409e-05,2.5512509176226e-05,0
"一心",0.000324939073923639,0,0,0
"一想",0.000112384917216042,8.01798247045226e-05,0,2.59252607457582e-05
"一想道",5.41565123206066e-05,0,0,6.24648635142732e-05
"一截",2.24769834432084e-05,5.34532164696817e-05,0,2.59252607457582e-05
"一房",5.41565123206066e-05,0,0.000122940742562085,0
